Filename,Category,MeanDifference,MaxDifference,StandardDeviation
1786006458428.jpg,Unknown,15.56,255,14.69
1786007348392.jpg,Original,15.56,255,14.69
1786007824023.jpg,Original,14.89,255,13.41
1786007844998.jpg,Original,11.18,255,12.07
1786007878832.jpg,Original,14.22,255,13.97
1786007893884.jpg,Original,13.85,255,14.75
1786008291866.jpg,E-commerce,2.66,255,8.58
1786008306722.jpg,E-commerce,2.24,255,5.86
1786008347309.jpg,E-commerce,2.45,254,10.08
1786008362919.jpg,E-commerce,3.48,255,10.61
1786008377656.jpg,E-commerce,6.9,255,16.34
1786008637193.jpg,Edited,12.11,255,17.39
1786008684378.jpg,Edited,12.9,255,16.42
1786008709568.jpg,Edited,17.02,255,21.47
1786008728526.jpg,Edited,8.2,255,12.45
1786008742880.jpg,Edited,9.64,255,11.94
1786009403609.png,AI Generated,6.53,255,7.86
1786009425812.png,AI Generated,10.64,255,12.19
1786009453161.PNG,AI Generated,5.36,255,8.75
1786009509040.png,AI Generated,7.17,255,9.33
1786009518266.PNG,AI Generated,10.44,255,12.12
1786015210703.PNG,AI Generated,2.31,54,2.57
1786015261346.jpg,Original,0.92,17,0.98
1786015359785.jpg,E-commerce,0.36,13,0.84
1786015608210.jpg,Original,1.24,21,1.12
1786015634975.jpg,Original,0.86,19,0.92
1786015649266.jpg,Original,0.92,17,0.98
1786015667336.jpg,Original,0.92,15,0.86
1786015691455.jpg,Original,1.15,20,1.1
1786015734918.jpg,E-commerce,0.14,13,0.44
1786015755901.jpg,E-commerce,0.36,39,0.91
1786015776323.jpg,E-commerce,0.14,14,0.56
1786015805172.jpg,E-commerce,0.27,19,0.8
1786015817527.jpg,E-commerce,0.36,13,0.84
1786015869427.jpg,Edited,0.97,20,1.37
1786015887725.jpg,Edited,1.36,26,1.68
1786015904998.jpg,Edited,1.29,19,1.61
1786015928305.jpg,Edited,0.66,20,0.99
1786015938701.jpg,Edited,0.96,25,1.19
1786015964071.png,AI Genrated,2.0,66,2.42
1786015980624.png,AI Genrated,1.56,57,1.79
1786015992264.PNG,AI Genrated,2.31,54,2.57
1786016004226.PNG,AI Genrated,2.14,95,3.27
1786016014457.png,AI Genrated,1.98,46,2.22
