filename,true_label,meanDifference,maxDifference,standardDeviation,edgeDensity,noiseMean,noiseStd,blurScore,sharpnessScore,blockSharpnessAverage,blockSharpnessStd
AI (1).png,AI,2.0,38,2.33,9.74,4.61,7.67,999.71,53.23,1089.07,1426.79
AI (10).png,AI,2.36,66,2.9,13.33,7.51,10.76,2665.45,67.68,2603.34,3096.17
AI (11).png,AI,1.27,59,2.11,6.7,3.54,7.86,878.63,36.1,820.81,1232.25
AI (12).png,AI,1.66,49,1.82,4.74,4.06,8.48,1003.92,43.02,1021.75,1261.24
AI (13).png,AI,1.68,41,1.75,6.21,2.94,5.07,374.67,45.94,387.12,444.35
AI (14).png,AI,1.56,42,1.74,3.2,2.15,4.23,255.62,32.28,261.68,430.85
AI (15).png,AI,1.46,41,1.66,2.09,1.45,2.36,86.16,26.3,89.19,123.43
AI (16).png,AI,1.45,46,1.8,2.36,1.41,2.71,96.9,28.85,100.34,163.69
AI (17).png,AI,2.31,35,2.03,6.55,4.09,5.66,665.59,53.85,685.1,1021.29
AI (18).png,AI,2.12,24,1.91,11.06,5.09,6.92,906.31,64.4,920.65,1027.27
AI (19).png,AI,1.72,59,2.06,3.4,2.15,4.45,277.16,39.84,282.02,497.28
AI (2).png,AI,1.75,29,1.85,7.88,3.42,5.43,547.48,48.86,546.94,1034.08
AI (20).png,AI,1.95,67,2.45,3.89,2.44,5.43,458.87,36.18,472.84,722.92
AI (21).png,AI,3.35,85,4.33,14.34,8.23,12.56,2320.07,96.3,2371.91,2375.87
AI (22).png,AI,2.95,89,4.04,12.72,7.16,11.67,1918.98,80.22,1965.92,2221.03
AI (23).png,AI,2.03,23,1.83,8.77,6.02,9.12,1212.45,73.76,1279.22,1164.02
AI (24).png,AI,1.05,24,1.32,1.77,1.31,4.35,254.58,16.58,263.84,646.64
AI (25).png,AI,1.9,31,2.16,10.48,7.18,13.63,3037.46,76.89,3099.76,3788.78
AI (26).png,AI,1.74,51,2.05,7.87,4.06,8.31,998.01,57.57,1021.03,1734.52
AI (27).png,AI,1.48,28,1.53,4.86,2.73,5.41,433.61,41.26,448.07,1015.16
AI (28).png,AI,2.28,25,2.1,11.09,5.95,8.19,1270.77,67.92,1301.17,1227.72
AI (29).png,AI,2.36,29,2.18,11.38,5.12,6.25,865.21,61.93,887.07,887.55
AI (3).png,AI,1.54,36,1.58,1.7,2.39,4.45,341.51,28.05,339.67,595.35
