filename,class_label,group_id,ai_probability,manipulationProbability,meanDifference,maxDifference,standardDeviation,edgeDensity,noiseMean,noiseStd,blurScore,sharpnessScore,blockSharpnessAverage,blockSharpnessStd
authentic\39406.jpg,Authentic,,0.0,0.1633,1.23,18,1.38,17.31,8.52,10.47,2306.63,98.0,2353.32,1214.34
authentic\39446.jpg,Authentic,,0.0,0.2362,1.12,33,1.85,9.25,4.1,6.96,843.51,56.66,950.58,918.18
authentic\39450.jpg,Authentic,,0.0001,0.2144,0.78,17,1.39,10.83,6.08,11.99,2428.58,69.07,2442.11,2000.11
authentic\39460.jpg,Authentic,,0.0016,0.3236,0.61,15,1.08,5.91,2.79,6.48,561.43,44.76,590.61,587.08
authentic\39553.jpg,Authentic,,0.0209,0.1655,0.87,16,1.02,6.62,2.97,3.99,245.79,55.96,256.27,189.01
authentic\39563.jpg,Authentic,,0.0002,0.1251,0.67,12,0.88,4.6,2.23,3.1,146.48,40.36,143.23,93.59
authentic\39579.jpg,Authentic,,0.0001,0.0927,1.19,17,1.25,15.7,7.97,9.72,1931.13,97.77,1969.26,1040.53
authentic\39602.jpg,Authentic,,0.0006,0.098,1.36,11,1.26,27.3,13.16,12.88,4039.29,145.63,4100.99,1925.29
authentic\39635.jpg,Authentic,,0.0,0.1414,0.81,12,1.01,7.42,3.07,4.05,258.66,51.68,267.48,146.05
authentic\39658.jpg,Authentic,,0.0047,0.122,1.46,15,1.44,25.48,11.14,11.44,3622.98,127.79,3544.84,1720.97
authentic\39683.jpg,Authentic,,0.0,0.3571,0.56,13,0.95,4.26,1.99,3.75,192.61,32.77,200.96,176.28
authentic\39691.jpg,Authentic,,0.0,0.3007,0.52,11,0.79,4.04,2.18,3.89,242.03,35.54,227.24,207.85
authentic\39732.jpg,Authentic,,0.0182,0.2932,0.75,12,1.1,4.67,2.28,4.11,202.15,42.67,209.86,188.71
authentic\39770.jpg,Authentic,,0.0,0.3474,0.44,10,0.7,3.27,2.16,3.67,220.35,34.65,227.25,289.56
authentic\39777.jpg,Authentic,,0.0006,0.2683,0.52,10,0.84,4.38,2.29,4.59,273.92,38.58,250.05,322.75
authentic\39796.jpg,Authentic,,0.0119,0.4452,0.86,11,1.21,13.9,5.61,8.81,1576.41,67.73,1572.26,1746.81
authentic\39827.jpg,Authentic,,0.0106,0.1629,0.38,35,1.1,2.49,2.21,8.5,799.18,38.87,730.52,1545.69
authentic\39866.jpg,Authentic,,0.0,0.1577,1.24,18,1.38,17.99,9.23,11.26,2531.87,106.49,2575.62,1601.46
authentic\39886.jpg,Authentic,,0.0001,0.1827,0.44,6,0.65,2.22,1.86,2.6,98.33,30.57,98.54,69.59
authentic\39890.jpg,Authentic,,0.0,0.5334,0.81,15,1.29,8.5,6.16,12.54,2207.24,75.37,2012.58,2650.4
authentic\39896.jpg,Authentic,,0.0002,0.2041,0.71,10,0.93,3.99,2.95,5.13,396.74,41.6,408.29,540.82
authentic\39898.jpg,Authentic,,0.0005,0.2747,0.5,10,0.81,3.76,2.01,4.66,218.85,43.56,224.42,288.98
authentic\39955.jpg,Authentic,,0.0,0.1939,1.46,24,1.79,16.38,8.78,12.11,3270.44,93.58,3247.52,2475.66
authentic\39956.jpg,Authentic,,0.002,0.1217,0.57,12,0.91,6.08,3.52,6.27,660.56,44.27,651.96,416.65
authentic\39969.jpg,Authentic,,0.0,0.2866,0.99,23,1.2,13.38,6.71,8.87,1576.04,80.68,1639.89,1177.92
authentic\39972.jpg,Authentic,,0.0001,0.2174,0.8,13,1.17,6.57,6.38,12.34,2115.82,83.31,2217.06,1000.81
authentic\39985.jpg,Authentic,,0.0002,0.2456,0.76,15,1.03,11.9,6.49,10.15,1470.96,82.88,1479.36,1295.22
authentic\39996.jpg,Authentic,,0.0001,0.3009,0.59,22,1.05,3.37,2.0,4.71,318.76,31.51,299.22,448.24
authentic\40021.jpg,Authentic,,0.0089,0.1907,1.04,12,1.21,18.52,8.3,10.01,2229.07,96.49,2260.88,2278.48
authentic\40022.jpg,Authentic,,0.0008,0.2416,0.5,11,0.86,5.09,2.58,6.08,511.57,44.96,472.03,618.88
authentic\40034.jpg,Authentic,,0.0001,0.1306,0.69,12,0.9,6.6,3.56,6.2,532.02,51.98,500.18,643.68
authentic\40056.jpg,Authentic,,0.0,0.3962,0.67,15,1.14,8.12,2.98,5.75,461.49,47.67,476.15,617.79
authentic\40083.jpg,Authentic,,0.0,0.3,0.69,16,1.1,6.08,3.27,6.05,532.57,48.34,549.46,700.84
authentic\40148.jpg,Authentic,,0.0,0.3972,0.43,9,0.73,4.1,1.8,3.35,150.26,34.15,151.93,176.26
authentic\40162.jpg,Authentic,,0.0001,0.2955,0.4,10,0.68,3.58,1.99,3.7,180.76,33.78,185.54,254.8
authentic\40201.jpg,Authentic,,0.0001,0.3045,0.55,15,1.01,5.85,3.42,8.16,959.67,45.85,868.19,1279.32
authentic\40208.jpg,Authentic,,0.0003,0.3199,0.71,14,1.02,5.32,3.37,5.68,437.62,52.07,449.82,332.91
authentic\40218.jpg,Authentic,,0.0007,0.4058,0.81,15,1.19,7.55,4.41,8.43,1091.86,58.52,1119.45,1122.69
authentic\40226.jpg,Authentic,,0.0,0.3174,0.72,16,1.19,6.98,3.27,6.72,673.69,50.26,595.66,809.02
authentic\40252.jpg,Authentic,,0.0,0.2038,0.96,14,1.14,11.33,4.15,6.39,810.3,65.23,761.77,1058.65
authentic\40266.jpg,Authentic,,0.0001,0.4476,1.27,25,1.6,15.54,8.61,12.83,2603.79,109.7,2649.27,1737.63
authentic\40269.jpg,Authentic,,0.0,0.2871,0.52,7,0.79,4.63,1.93,3.47,152.73,38.81,150.06,208.63
authentic\40304.jpg,Authentic,,0.0,0.2054,1.02,13,1.21,12.26,6.05,8.66,1593.01,71.69,1622.58,1370.47
authentic\40323.jpg,Authentic,,0.0008,0.4338,1.12,36,2.24,6.91,6.44,13.62,2459.17,82.19,2535.1,2710.5
authentic\40366.jpg,Authentic,,0.0,0.235,0.74,10,0.96,11.52,4.4,6.26,714.21,58.38,731.64,662.71
authentic\40378.jpg,Authentic,,0.0004,0.1029,2.07,15,1.83,31.61,16.66,15.08,8092.94,161.73,8192.97,2375.67
authentic\40489.jpg,Authentic,,0.0,0.3763,0.5,10,0.78,4.57,2.29,4.52,261.52,42.19,251.88,252.38
authentic\40496.jpg,Authentic,,0.0,0.3081,0.76,20,1.14,8.61,4.74,8.83,1216.83,60.95,1285.68,1726.87
authentic\40516.jpg,Authentic,,0.0022,0.3424,0.51,10,0.84,5.15,2.28,4.48,248.62,40.16,241.83,287.1
authentic\40521.jpg,Authentic,,0.0002,0.2865,0.69,9,0.92,6.53,3.11,5.11,432.13,50.73,385.34,396.47
authentic\40531.jpg,Authentic,,0.0,0.1116,1.41,25,1.47,20.58,11.25,12.46,3470.89,124.63,3541.49,1585.67
authentic\40566.jpg,Authentic,,0.0001,0.363,0.4,13,0.77,3.21,1.94,4.82,266.75,33.03,276.92,379.07
authentic\40574.jpg,Authentic,,0.0,0.4125,0.57,16,0.91,5.94,4.16,7.63,643.25,64.35,664.07,745.11
authentic\40594.jpg,Authentic,,0.0,0.1706,0.42,9,0.75,4.1,1.9,4.02,205.27,36.95,183.6,263.38
authentic\40602.jpg,Authentic,,0.0002,0.1382,0.75,11,0.96,12.23,6.07,8.66,1362.57,76.16,1379.0,936.72
authentic\40608.jpg,Authentic,,0.0637,0.3188,0.54,13,0.88,6.62,2.77,5.49,431.44,43.79,377.37,446.99
authentic\40618.jpg,Authentic,,0.0002,0.6102,1.26,19,1.81,13.84,6.35,9.83,1764.64,74.02,1724.26,1617.29
authentic\40659.jpg,Authentic,,0.0201,0.2321,0.86,18,1.42,8.86,5.29,10.75,1688.53,59.66,1380.92,1338.85
authentic\40660.jpg,Authentic,,0.0,0.3764,0.52,12,0.86,4.12,2.89,6.78,531.49,52.94,477.95,496.85
authentic\40666.jpg,Authentic,,0.0,0.3193,0.9,18,1.32,7.75,3.54,5.73,492.69,56.2,476.33,364.83
authentic\40709.jpg,Authentic,,0.0155,0.1586,0.63,15,0.75,2.74,3.8,4.44,431.75,42.92,411.01,409.35
authentic\40716.jpg,Authentic,,0.0001,0.315,0.86,24,1.23,7.25,3.52,6.48,634.12,55.3,667.02,653.26
authentic\40736.jpg,Authentic,,0.0,0.1981,0.48,13,0.8,5.66,2.37,4.78,346.69,41.65,352.35,499.25
authentic\40740.jpg,Authentic,,0.0013,0.3685,0.94,20,1.23,7.9,3.38,5.98,523.36,55.74,529.32,632.02
authentic\40894.jpg,Authentic,,0.0,0.2645,0.6,14,0.98,5.89,3.23,6.38,863.46,45.67,816.32,1674.51
authentic\41012.jpg,Authentic,,0.0001,0.3829,0.81,27,1.28,6.25,4.59,9.7,1515.48,58.67,1502.57,1105.96
authentic\41021.jpg,Authentic,,0.0001,0.2791,1.08,22,1.32,17.0,7.7,10.33,2149.06,93.34,2235.1,1769.42
authentic\41030.jpg,Authentic,,0.0006,0.3376,0.68,18,1.17,7.62,4.15,8.17,1204.59,45.94,1218.59,1449.94
authentic\41032.jpg,Authentic,,0.0,0.2393,0.65,12,0.89,8.02,4.04,6.44,558.2,63.84,587.81,511.78
authentic\41041.jpg,Authentic,,0.0,0.2889,1.09,13,1.3,16.71,8.32,11.08,2451.71,96.99,2523.6,1392.59
authentic\41051.jpg,Authentic,,0.0,0.1578,0.37,11,0.7,3.01,1.61,3.62,196.66,24.45,202.4,339.23
authentic\41063.jpg,Authentic,,0.0001,0.3495,0.77,28,1.3,4.93,2.69,5.12,403.79,37.21,411.61,399.1
authentic\41076.jpg,Authentic,,0.0002,0.3148,0.61,26,1.01,5.15,2.29,4.75,276.29,41.1,272.75,350.49
authentic\41093.jpg,Authentic,,0.0044,0.1602,0.65,9,0.84,6.27,3.18,4.53,398.37,37.49,400.99,270.34
authentic\41101.jpg,Authentic,,0.0,0.2592,1.01,25,1.5,6.95,3.97,8.38,1088.27,55.24,1112.98,1544.16
authentic\41129.jpg,Authentic,,0.0001,0.2359,0.97,15,1.29,12.32,7.13,9.66,2327.64,77.98,2280.5,2776.89
authentic\41145.jpg,Authentic,,0.0,0.2886,0.36,7,0.67,2.45,1.44,2.88,95.76,25.46,98.81,91.66
authentic\41150.jpg,Authentic,,0.0,0.1701,0.8,11,0.94,11.07,4.29,5.92,532.88,68.69,576.09,407.09
authentic\41158.jpg,Authentic,,0.0001,0.398,0.83,25,1.43,5.98,4.11,9.19,1413.1,58.05,1452.98,2740.18
authentic\41178.jpg,Authentic,,0.0,0.1655,1.62,28,1.85,20.41,11.13,12.96,3521.33,130.81,3585.18,1872.79
authentic\41261.jpg,Authentic,,0.0087,0.3644,0.47,16,0.82,2.34,1.45,3.11,127.09,27.03,129.9,155.6
authentic\41267.jpg,Authentic,,0.0007,0.4022,0.87,18,1.27,5.74,5.28,10.56,1533.05,72.45,1474.18,1407.5
authentic\41281.jpg,Authentic,,0.0001,0.2882,0.52,12,0.85,7.17,3.88,7.1,676.2,52.9,684.28,663.99
authentic\41284.jpg,Authentic,,0.0,0.411,1.13,22,1.66,6.62,3.56,8.14,877.63,56.57,898.35,1075.5
authentic\41315.jpg,Authentic,,0.0,0.3301,0.97,15,1.27,6.74,4.76,9.48,1489.36,56.57,1516.61,2643.71
authentic\41328.jpg,Authentic,,0.0002,0.1905,1.09,17,1.44,16.22,7.08,10.95,2309.46,95.53,2099.58,2704.94
authentic\41336.jpg,Authentic,,0.4814,0.3802,0.51,12,0.91,5.36,3.63,8.06,868.67,52.75,901.63,1109.83
authentic\41339.jpg,Authentic,,0.0003,0.3808,0.75,16,1.17,3.57,2.08,4.86,225.52,42.95,225.01,333.76
authentic\41344.jpg,Authentic,,0.0002,0.28,0.56,14,0.92,4.9,2.41,5.04,307.71,39.33,308.76,451.54
authentic\41370.jpg,Authentic,,0.0013,0.2147,0.66,15,1.04,7.9,4.5,8.88,1292.23,48.84,1319.46,1711.83
authentic\41438.jpg,Authentic,,0.0643,0.0,0.19,10,0.58,1.15,0.79,3.45,138.33,12.08,148.17,301.91
authentic\41444.jpg,Authentic,,0.0001,0.3232,0.92,20,1.42,7.21,4.75,9.62,1422.49,73.2,1462.26,2011.95
authentic\41447.jpg,Authentic,,0.0001,0.4044,1.42,32,2.01,9.75,8.71,14.42,2898.69,106.43,2970.1,2245.42
authentic\41487.jpg,Authentic,,0.0007,0.4407,0.43,13,0.81,3.23,1.7,4.8,279.48,29.88,272.38,428.71
authentic\41489.jpg,Authentic,,0.0,0.1293,1.32,20,1.58,16.63,9.75,12.88,3233.23,109.91,3304.56,2151.94
authentic\41491.jpg,Authentic,,0.0001,0.2803,0.62,12,0.93,7.39,2.69,5.13,369.3,52.96,348.94,545.26
authentic\41517.jpg,Authentic,,0.001,0.3129,0.57,17,0.87,3.04,2.89,5.29,396.8,37.81,394.8,341.15
authentic\41568.jpg,Authentic,,0.0053,0.2035,1.0,19,1.28,14.28,6.38,7.82,1275.75,77.6,1269.04,732.38
authentic\41587.jpg,Authentic,,0.0006,0.0907,1.28,13,1.25,23.09,12.47,12.93,3256.13,160.33,3448.26,1182.77
authentic\41594.jpg,Authentic,,0.0,0.2426,0.63,11,0.94,8.18,3.66,6.74,707.82,51.72,657.33,781.15
authentic\41607.jpg,Authentic,,0.0042,0.2171,1.05,16,1.34,15.89,7.55,9.99,2104.15,86.8,1984.14,1555.4
authentic\41619.jpg,Authentic,,0.0011,0.1908,0.52,11,0.83,6.15,4.48,9.14,971.82,60.86,976.38,764.53
authentic\41629.jpg,Authentic,,0.0002,0.4989,0.72,23,1.26,7.26,4.95,10.71,1782.03,59.29,1822.99,2318.41
authentic\41638.jpg,Authentic,,0.0003,0.4219,0.55,13,1.01,7.46,4.17,9.09,1030.08,57.92,1049.67,1019.2
authentic\41645.jpg,Authentic,,0.0005,0.187,0.64,13,0.85,7.62,3.33,5.25,353.06,65.45,341.42,551.66
authentic\41655.jpg,Authentic,,0.0001,0.258,0.36,9,0.65,2.41,1.36,2.54,75.16,26.3,80.25,63.88
authentic\41668.jpg,Authentic,,0.0432,0.2497,0.98,12,1.36,11.83,10.91,17.27,4366.73,135.82,4564.49,2385.35
authentic\41711.jpg,Authentic,,0.0002,0.1787,0.79,13,1.07,6.19,3.33,6.66,582.9,60.11,596.64,514.88
authentic\41713.jpg,Authentic,,0.0535,0.2679,0.64,12,0.87,8.89,4.9,7.21,801.79,62.19,817.72,688.41
authentic\41731.jpg,Authentic,,0.0002,0.4452,0.49,13,0.87,5.54,3.59,8.38,910.04,50.48,859.02,1029.65
authentic\41734.jpg,Authentic,,0.1394,0.1957,1.53,21,1.47,20.88,17.14,19.31,6376.37,191.41,6473.8,3289.42
authentic\41788.jpg,Authentic,,0.0002,0.2963,0.48,8,0.77,3.92,2.04,3.85,215.58,32.55,219.69,217.55
authentic\41854.jpg,Authentic,,0.0001,0.1972,0.96,12,1.11,17.26,9.01,11.14,2161.45,110.07,2221.56,1551.53
authentic\41859.jpg,Authentic,,0.0,0.3071,0.51,12,0.88,5.47,2.93,6.22,543.32,44.62,534.48,505.68
authentic\41893.jpg,Authentic,,0.0002,0.3176,0.49,17,0.88,4.94,2.62,5.37,407.65,36.88,419.52,498.31
authentic\41908.jpg,Authentic,,0.0001,0.2375,1.17,21,1.47,12.8,8.02,12.47,2442.19,97.32,2379.22,1940.01
authentic\41918.jpg,Authentic,,0.0046,0.1824,2.09,22,1.99,30.05,17.2,17.1,8894.78,188.93,9021.87,5620.98
authentic\41932.jpg,Authentic,,0.0005,0.2286,0.67,13,0.94,5.65,2.88,5.24,356.01,45.19,318.58,340.65
authentic\41958.jpg,Authentic,,0.0,0.212,1.38,24,1.57,20.8,11.19,14.33,4171.78,120.37,4216.54,2502.09
